Season,Week Start Date,Week End Date,Group,Subgroup,Estimated population,Percent of the population,Cases during this week,Week case rate,Cumulative cases,Cumulative case rate,Deaths during this week,Week death rate,Cumulative deaths,Cumulative death rate,Last updated
2023-2024,7/2/2023,7/8/2023,Race and Hispanic ethnicity,"Hispanic, all races",878944.1746,0.125029097,131,14.90424577,131,14.90424577,0,0,0,0,5/23/2024
2023-2024,7/2/2023,7/8/2023,Race and Hispanic ethnicity,"Asian, not Hispanic",510096.1107,0.072560759,29,5.68520312,29,5.68520312,1,0.196041487,1,0.196041487,5/23/2024
2023-2024,7/2/2023,7/8/2023,Race and Hispanic ethnicity,"Black or African-American, not Hispanic",476930.2448,0.067842941,53,11.11273621,53,11.11273621,0,0,0,0,5/23/2024
2023-2024,7/2/2023,7/8/2023,Race and Hispanic ethnicity,"Alaskan Native or American Indian, not Hispanic",9939.379615,0.001413869,0,0,0,0,0,0,0,0,5/23/2024
2023-2024,7/2/2023,7/8/2023,Race and Hispanic ethnicity,"Other race, not Hispanic",**,**,23,*,23,*,1,*,1,*,5/23/2024
2023-2024,7/2/2023,7/8/2023,Race and Hispanic ethnicity,"Native Hawaiian or Pacific Islander, not Hispanic",1841.11872,0.000261898,0,0,0,0,0,0,0,0,5/23/2024
2023-2024,7/2/2023,7/8/2023,Race and Hispanic ethnicity,"White, not Hispanic",4826116.284,0.686511133,368,7.625178889,368,7.625178889,6,0.124323569,6,0.124323569,5/23/2024
2023-2024,7/2/2023,7/8/2023,Race and Hispanic ethnicity,Unknown race,**,**,242,*,242,*,0,*,0,*,5/23/2024
2023-2024,7/2/2023,7/8/2023,Reported sex or gender,Female,3618900.256,0.0514786,506,13.98214828,506,13.98214828,4,0.110530816,4,0.110530816,5/23/2024
2023-2024,7/2/2023,7/8/2023,Reported sex or gender,Male,3411016.741,0.0485214,327,9.586584436,327,9.586584436,4,0.117267088,4,0.117267088,5/23/2024
2023-2024,7/2/2023,7/8/2023,Reported sex or gender,Transgender,**,**,0,*,0,*,0,*,0,*,5/23/2024
2023-2024,7/2/2023,7/8/2023,Reported sex or gender,Unknown sex,**,**,13,*,13,*,0,*,0,*,5/23/2024
2023-2024,7/2/2023,7/8/2023,Age,<5 years,356878.9331,0.050765739,70,19.61449486,70,19.61449486,0,0,0,0,5/23/2024
2023-2024,7/2/2023,7/8/2023,Age,5-19 years,1208696.36,0.171936078,45,3.723019402,45,3.723019402,0,0,0,0,5/23/2024
2023-2024,7/2/2023,7/8/2023,Age,20-34 years,1510757.646,0.214904052,117,7.744458571,117,7.744458571,0,0,0,0,5/23/2024
2023-2024,7/2/2023,7/8/2023,Age,35-49 years,1307950.041,0.186054834,110,8.410107156,110,8.410107156,0,0,0,0,5/23/2024
2023-2024,7/2/2023,7/8/2023,Age,50-64 years,1444570.402,0.20548897,163,11.28363144,163,11.28363144,0,0,0,0,5/23/2024
2023-2024,7/2/2023,7/8/2023,Age,65-79 years,899365.7143,0.127934045,195,21.68194728,195,21.68194728,3,0.33356842,3,0.33356842,5/23/2024
2023-2024,7/2/2023,7/8/2023,Age,80+ years,301697.9003,0.042916282,146,48.39277962,146,48.39277962,5,1.657286973,5,1.657286973,5/23/2024
2023-2024,7/2/2023,7/8/2023,Age,Unknown age,**,**,0,*,0,*,0,*,0,*,5/23/2024
2023-2024,7/9/2023,7/15/2023,Race and Hispanic ethnicity,"Hispanic, all races",878944.1746,0.125029097,148,16.83838454,279,31.74263031,1,0.113772869,1,0.113772869,5/23/2024
2023-2024,7/9/2023,7/15/2023,Race and Hispanic ethnicity,"Asian, not Hispanic",510096.1107,0.072560759,41,8.037700963,70,13.72290408,0,0,1,0.196041487,5/23/2024
2023-2024,7/9/2023,7/15/2023,Race and Hispanic ethnicity,"Black or African-American, not Hispanic",476930.2448,0.067842941,52,10.90306194,105,22.01579815,0,0,0,0,5/23/2024
2023-2024,7/9/2023,7/15/2023,Race and Hispanic ethnicity,"Alaskan Native or American Indian, not Hispanic",9939.379615,0.001413869,0,0,0,0,0,0,0,0,5/23/2024
2023-2024,7/9/2023,7/15/2023,Race and Hispanic ethnicity,"Other race, not Hispanic",**,**,29,*,52,*,0,*,1,*,5/23/2024
2023-2024,7/9/2023,7/15/2023,Race and Hispanic ethnicity,"Native Hawaiian or Pacific Islander, not Hispanic",1841.11872,0.000261898,0,0,0,0,0,0,0,0,5/23/2024
2023-2024,7/9/2023,7/15/2023,Race and Hispanic ethnicity,"White, not Hispanic",4826116.284,0.686511133,399,8.267517328,767,15.89269622,7,0.145044164,13,0.269367732,5/23/2024
2023-2024,7/9/2023,7/15/2023,Race and Hispanic ethnicity,Unknown race,**,**,303,*,545,*,0,*,0,*,5/23/2024
2023-2024,7/9/2023,7/15/2023,Reported sex or gender,Female,3618900.256,0.0514786,570,15.75064135,1076,29.73278963,6,0.165796225,10,0.276327041,5/23/2024
2023-2024,7/9/2023,7/15/2023,Reported sex or gender,Male,3411016.741,0.0485214,380,11.14037335,707,20.72695779,2,0.058633544,6,0.175900632,5/23/2024
2023-2024,7/9/2023,7/15/2023,Reported sex or gender,Transgender,**,**,0,*,0,*,0,*,0,*,5/23/2024
2023-2024,7/9/2023,7/15/2023,Reported sex or gender,Unknown sex,**,**,22,*,35,*,0,*,0,*,5/23/2024
2023-2024,7/9/2023,7/15/2023,Age,<5 years,356878.9331,0.050765739,86,24.09780797,156,43.71230284,0,0,0,0,5/23/2024
2023-2024,7/9/2023,7/15/2023,Age,5-19 years,1208696.36,0.171936078,71,5.874097279,116,9.597116682,0,0,0,0,5/23/2024
2023-2024,7/9/2023,7/15/2023,Age,20-34 years,1510757.646,0.214904052,163,10.78928844,280,18.53374701,0,0,0,0,5/23/2024
2023-2024,7/9/2023,7/15/2023,Age,35-49 years,1307950.041,0.186054834,147,11.23896138,257,19.64906854,1,0.07645552,1,0.07645552,5/23/2024
2023-2024,7/9/2023,7/15/2023,Age,50-64 years,1444570.402,0.20548897,174,12.0451035,337,23.32873493,0,0,0,0,5/23/2024
2023-2024,7/9/2023,7/15/2023,Age,65-79 years,899365.7143,0.127934045,201,22.34908412,396,44.03103139,3,0.33356842,6,0.667136839,5/23/2024
2023-2024,7/9/2023,7/15/2023,Age,80+ years,301697.9003,0.042916282,130,43.0894613,276,91.48224092,4,1.325829579,9,2.983116552,5/23/2024
