Season,Week Start Date,Week End Date,City/Town,County,Population,Cumulative tests,Tests during the week,Positive tests the week,Week percent positivity,Cumulative confirmed cases,Weekly testing rate,Cases during this week,Weekly case rate,Last updated
2023-2024,7/2/2023,7/8/2023,Abington,Plymouth,17062.0001,26,26,3,0.115384615,1-4,152.385417,1-4,*,5/23/2024
2023-2024,7/2/2023,7/8/2023,Acton,Middlesex,24021.00018,26,26,2,0.076923077,1-4,108.2386237,1-4,*,5/23/2024
2023-2024,7/2/2023,7/8/2023,Acushnet,Bristol,10559.00005,20,20,0,0,0,189.4118752,0,0,5/23/2024
2023-2024,7/2/2023,7/8/2023,Adams,Berkshire,8165.999947,39,39,0,0,0,477.5900105,0,0,5/23/2024
2023-2024,7/2/2023,7/8/2023,Agawam,Hampden,28692.00012,84,84,0,0,0,292.7645324,0,0,5/23/2024
2023-2024,7/2/2023,7/8/2023,Alford,Berkshire,486.0000014,0,0,0,*,0,0,0,0,5/23/2024
2023-2024,7/2/2023,7/8/2023,Amesbury,Essex,17366,22,22,0,0,0,126.6843257,0,0,5/23/2024
2023-2024,7/2/2023,7/8/2023,Amherst,Hampshire,39263.00005,45,45,0,0,0,114.6117208,0,0,5/23/2024
2023-2024,7/2/2023,7/8/2023,Andover,Essex,36569.00008,52,52,1,0.019230769,1-4,142.1969425,1-4,*,5/23/2024
2023-2024,7/2/2023,7/8/2023,Aquinnah,Dukes,438.9999957,1,1,0,0,0,227.790435,0,0,5/23/2024
2023-2024,7/2/2023,7/8/2023,Arlington,Middlesex,46307.99963,69,69,2,0.028985507,1-4,149.0023334,1-4,*,5/23/2024
2023-2024,7/2/2023,7/8/2023,Ashburnham,Worcester,6314.999981,6,6,0,0,0,95.01187677,0,0,5/23/2024
2023-2024,7/2/2023,7/8/2023,Ashby,Middlesex,3192.999983,6,6,0,0,0,187.9110564,0,0,5/23/2024
2023-2024,7/2/2023,7/8/2023,Ashfield,Franklin,1694.999994,2,2,0,0,0,117.9941007,0,0,5/23/2024
2023-2024,7/2/2023,7/8/2023,Ashland,Middlesex,18832.00002,35,35,3,0.085714286,1-4,185.8538655,1-4,*,5/23/2024
2023-2024,7/2/2023,7/8/2023,Athol,Worcester,11944.99995,15,15,2,0.133333333,1-4,125.5755551,1-4,*,5/23/2024
2023-2024,7/2/2023,7/8/2023,Attleboro,Bristol,46461.00015,60,60,3,0.05,1-4,129.1405691,1-4,*,5/23/2024
2023-2024,7/2/2023,7/8/2023,Auburn,Worcester,16889.00014,23,23,0,0,0,136.1833135,0,0,5/23/2024
2023-2024,7/2/2023,7/8/2023,Avon,Norfolk,4777.000038,1,1,0,0,0,20.93364019,0,0,5/23/2024
2023-2024,7/2/2023,7/8/2023,Ayer,Middlesex,8478.999958,9,9,0,0,0,106.144593,0,0,5/23/2024
2023-2024,7/2/2023,7/8/2023,Barnstable,Barnstable,48915.99994,234,234,12,0.051282051,10,478.3710857,10,20.44320879,5/23/2024
2023-2024,7/2/2023,7/8/2023,Barre,Worcester,5530.000019,6,6,0,0,0,108.4990955,0,0,5/23/2024
2023-2024,7/2/2023,7/8/2023,Becket,Berkshire,1930.999997,4,4,0,0,0,207.1465565,0,0,5/23/2024
2023-2024,7/2/2023,7/8/2023,Bedford,Middlesex,14383,22,22,2,0.090909091,1-4,152.9583536,1-4,*,5/23/2024
2023-2024,7/2/2023,7/8/2023,Belchertown,Hampshire,15349.99999,50,50,2,0.04,1-4,325.7328992,1-4,*,5/23/2024
2023-2024,7/2/2023,7/8/2023,Bellingham,Norfolk,16944.99994,43,43,1,0.023255814,1-4,253.7621726,1-4,*,5/23/2024
2023-2024,7/2/2023,7/8/2023,Belmont,Middlesex,27294.99997,35,35,2,0.057142857,1-4,128.2286134,1-4,*,5/23/2024
2023-2024,7/2/2023,7/8/2023,Berkley,Bristol,6763.999987,6,6,0,0,0,88.70490851,0,0,5/23/2024
2023-2024,7/2/2023,7/8/2023,Berlin,Worcester,3158.000011,2,2,0,0,0,63.33122206,0,0,5/23/2024
2023-2024,7/2/2023,7/8/2023,Bernardston,Franklin,2101.999977,10,10,0,0,0,475.7373981,0,0,5/23/2024
2023-2024,7/2/2023,7/8/2023,Beverly,Essex,42670.00018,83,83,0,0,0,194.5160526,0,0,5/23/2024
2023-2024,7/2/2023,7/8/2023,Billerica,Middlesex,42118.99985,54,54,4,0.074074074,1-4,128.2081725,1-4,*,5/23/2024
2023-2024,7/2/2023,7/8/2023,Blackstone,Worcester,9207.999992,22,22,2,0.090909091,1-4,238.9226761,1-4,*,5/23/2024
2023-2024,7/2/2023,7/8/2023,Blandford,Hampden,1215.000004,2,2,0,0,0,164.609053,0,0,5/23/2024
2023-2024,7/2/2023,7/8/2023,Bolton,Worcester,5665.000015,10,10,1,0.1,1-4,176.5225061,1-4,*,5/23/2024
2023-2024,7/2/2023,7/8/2023,Boston,Suffolk,675646.9993,1118,1118,51,0.045617174,50,165.4710228,50,7.400314077,5/23/2024
2023-2024,7/2/2023,7/8/2023,Bourne,Barnstable,20451.99994,73,73,7,0.095890411,5,356.9333083,5,24.44748687,5/23/2024
2023-2024,7/2/2023,7/8/2023,Boxborough,Middlesex,5506.000034,11,11,1,0.090909091,1-4,199.7820547,1-4,*,5/23/2024
2023-2024,7/2/2023,7/8/2023,Boxford,Essex,8203.000069,14,14,1,0.071428571,1-4,170.6692659,1-4,*,5/23/2024
2023-2024,7/2/2023,7/8/2023,Boylston,Worcester,4848.999969,5,5,0,0,0,103.1140448,0,0,5/23/2024
2023-2024,7/2/2023,7/8/2023,Braintree,Norfolk,39143.00006,66,66,7,0.106060606,5,168.612523,5,12.77367599,5/23/2024
2023-2024,7/2/2023,7/8/2023,Brewster,Barnstable,10318.00012,42,42,3,0.071428571,1-4,407.0556261,1-4,*,5/23/2024
2023-2024,7/2/2023,7/8/2023,Bridgewater,Plymouth,28633.00003,15,15,1,0.066666667,1-4,52.38710573,1-4,*,5/23/2024
2023-2024,7/2/2023,7/8/2023,Brimfield,Hampden,3693.999998,13,13,0,0,0,351.9220359,0,0,5/23/2024
2023-2024,7/2/2023,7/8/2023,Brockton,Plymouth,105643.0001,76,76,5,0.065789474,5,71.94040297,5,4.732921248,5/23/2024
2023-2024,7/2/2023,7/8/2023,Brookfield,Worcester,3438.999987,8,8,0,0,0,232.6257642,0,0,5/23/2024
2023-2024,7/2/2023,7/8/2023,Brookline,Norfolk,63190.99948,60,60,3,0.05,1-4,94.95023103,1-4,*,5/23/2024
2023-2024,7/2/2023,7/8/2023,Buckland,Franklin,1816.00001,1,1,1,1,1-4,55.06607901,1-4,*,5/23/2024
2023-2024,7/2/2023,7/8/2023,Burlington,Middlesex,26377.00009,50,50,1,0.02,0,189.5590849,0,0,5/23/2024
2023-2024,7/2/2023,7/8/2023,Cambridge,Middlesex,118402.9986,181,181,6,0.033149171,5,152.8677501,5,4.222866025,5/23/2024
2023-2024,7/2/2023,7/8/2023,Canton,Norfolk,24369.99988,33,33,0,0,0,135.412393,0,0,5/23/2024
2023-2024,7/2/2023,7/8/2023,Carlisle,Middlesex,5237.000011,6,6,0,0,0,114.5694097,0,0,5/23/2024
2023-2024,7/2/2023,7/8/2023,Carver,Plymouth,11645,23,23,1,0.043478261,1-4,197.5096608,1-4,*,5/23/2024
2023-2024,7/2/2023,7/8/2023,Charlemont,Franklin,1185.000004,3,3,0,0,0,253.1645561,0,0,5/23/2024
2023-2024,7/2/2023,7/8/2023,Charlton,Worcester,13315,12,12,1,0.083333333,1-4,90.12392039,1-4,*,5/23/2024
2023-2024,7/2/2023,7/8/2023,Chatham,Barnstable,6594.000019,31,31,0,0,0,470.1243541,0,0,5/23/2024
2023-2024,7/2/2023,7/8/2023,Chelmsford,Middlesex,36392.00049,40,40,0,0,0,109.9142654,0,0,5/23/2024
2023-2024,7/2/2023,7/8/2023,Chelsea,Suffolk,40787.00012,126,126,4,0.031746032,1-4,308.9219595,1-4,*,5/23/2024
2023-2024,7/2/2023,7/8/2023,Cheshire,Berkshire,3257.999985,14,14,0,0,0,429.7114814,0,0,5/23/2024
2023-2024,7/2/2023,7/8/2023,Chester,Hampden,1228.000006,5,5,0,0,0,407.1661217,0,0,5/23/2024
2023-2024,7/2/2023,7/8/2023,Chesterfield,Hampshire,1186.000009,1,1,0,0,0,84.31703143,0,0,5/23/2024
