Season,Week Start Date,Week End Date,County,Population,Cases during this week,Cumulative confirmed cases,Cumulative tests,Tests during the week,Positive tests the week,Week percent positivity,Weekly case rate,Weekly testing rate,Last updated
2023-2024,7/2/2023,7/8/2023,Barnstable,228995.9998,57,57,1014,1014,73,0.07199211,24.8912645,442.8024948,5/23/2024
2023-2024,7/2/2023,7/8/2023,Berkshire,129026,6,6,508,508,6,0.011811024,4.650225536,393.7190954,5/23/2024
2023-2024,7/2/2023,7/8/2023,Bristol,579200,35,35,598,598,37,0.06187291,6.04281768,103.2458564,5/23/2024
2023-2024,7/2/2023,7/8/2023,Dukes and Nantucket,34855,3,3,104,104,4,0.038461538,8.607086501,298.3789987,5/23/2024
2023-2024,7/2/2023,7/8/2023,Essex,809829.0011,65,65,1379,1379,70,0.050761421,8.026385806,170.282862,5/23/2024
2023-2024,7/2/2023,7/8/2023,Franklin,71028.9999,7,7,260,260,8,0.030769231,9.855129609,366.0476712,5/23/2024
2023-2024,7/2/2023,7/8/2023,Hampden,465824.9991,38,38,1781,1781,42,0.023582257,8.157569919,382.3324217,5/23/2024
2023-2024,7/2/2023,7/8/2023,Hampshire,162308.0003,9,9,364,364,10,0.027472527,5.545013175,224.2649773,5/23/2024
2023-2024,7/2/2023,7/8/2023,Middlesex,1632001.997,155,155,2520,2520,163,0.06468254,9.497537398,154.4115758,5/23/2024
2023-2024,7/2/2023,7/8/2023,Norfolk,725980.9995,58,58,1074,1074,62,0.057728119,7.989189805,147.937756,5/23/2024
2023-2024,7/2/2023,7/8/2023,Plymouth,530818.9998,47,47,722,722,48,0.066481994,8.854242221,136.0162316,5/23/2024
2023-2024,7/2/2023,7/8/2023,Statewide (all of MA),7029916.997,607,607,13331,13331,659,0.049433651,8.634525845,189.6323955,5/23/2024
2023-2024,7/2/2023,7/8/2023,Suffolk,797935.9991,62,62,1451,1451,64,0.044107512,7.770046729,181.8441581,5/23/2024
2023-2024,7/2/2023,7/8/2023,Unknown,,2,2,129,129,2,*,*,*,5/23/2024
2023-2024,7/2/2023,7/8/2023,Worcester,862111.0013,63,63,1427,1427,70,0.049053959,7.307643668,165.5239288,5/23/2024
2023-2024,7/9/2023,7/15/2023,Barnstable,228995.9998,42,99,2124,1110,58,0.052252252,18.34093174,484.7246244,5/23/2024
2023-2024,7/9/2023,7/15/2023,Berkshire,129026,21,27,1183,675,22,0.032592593,16.27578938,523.1503728,5/23/2024
2023-2024,7/9/2023,7/15/2023,Bristol,579200,49,84,1228,630,53,0.084126984,8.459944751,108.7707182,5/23/2024
2023-2024,7/9/2023,7/15/2023,Dukes and Nantucket,34855,6,9,238,134,8,0.059701493,17.214173,384.4498637,5/23/2024
2023-2024,7/9/2023,7/15/2023,Essex,809829.0011,94,159,2997,1618,100,0.061804697,11.6073887,199.7952651,5/23/2024
2023-2024,7/9/2023,7/15/2023,Franklin,71028.9999,9,16,536,276,9,0.032608696,12.67088093,388.5736817,5/23/2024
2023-2024,7/9/2023,7/15/2023,Hampden,465824.9991,35,73,3575,1794,36,0.02006689,7.513551241,385.1231693,5/23/2024
2023-2024,7/9/2023,7/15/2023,Hampshire,162308.0003,6,15,706,342,8,0.023391813,3.69667545,210.7105006,5/23/2024
2023-2024,7/9/2023,7/15/2023,Middlesex,1632001.997,186,341,5300,2780,200,0.071942446,11.39704488,170.3429288,5/23/2024
2023-2024,7/9/2023,7/15/2023,Norfolk,725980.9995,58,116,2212,1138,61,0.053602812,7.989189805,156.7534138,5/23/2024
2023-2024,7/9/2023,7/15/2023,Plymouth,530818.9998,50,97,1485,763,52,0.068152031,9.419406619,143.740145,5/23/2024
2023-2024,7/9/2023,7/15/2023,Statewide (all of MA),7029916.997,716,1323,27765,14434,779,0.053969794,10.18504202,205.3224811,5/23/2024
2023-2024,7/9/2023,7/15/2023,Suffolk,797935.9991,100,162,2958,1507,105,0.069674851,12.53233343,188.8622649,5/23/2024
