Week Start Date,Week End Date,Confirmed deaths,Probable deaths,Confirmed and probable deaths,Confirmed cases,Probable cases,Confirmed and probable cases,Last updated
1/8/2023,1/14/2023,132,47,179,7075,1647,8722,5/23/2024
10/17/2021,10/23/2021,79,4,83,8162,696,8858,5/23/2024
11/22/2020,11/28/2020,153,15,168,18176,1000,19176,5/23/2024
10/3/2021,10/9/2021,85,2,87,9315,742,10057,5/23/2024
4/5/2020,4/11/2020,654,23,677,12145,30,12175,5/23/2024
4/25/2021,5/1/2021,74,2,76,7104,918,8022,5/23/2024
1/23/2022,1/29/2022,417,47,464,38974,4814,43788,5/23/2024
4/18/2021,4/24/2021,67,1,68,8461,1107,9568,5/23/2024
3/17/2024,3/23/2024,14,1,15,743,263,1006,5/23/2024
3/19/2023,3/25/2023,54,9,63,1940,541,2481,5/23/2024
5/8/2022,5/14/2022,66,15,81,27608,4163,31771,5/23/2024
1/17/2021,1/23/2021,396,29,425,26612,2098,28710,5/23/2024
7/30/2023,8/5/2023,2,0,2,1234,505,1739,5/23/2024
6/20/2021,6/26/2021,12,0,12,461,66,527,5/23/2024
8/28/2022,9/3/2022,69,10,79,7203,1019,8222,5/23/2024
4/4/2021,4/10/2021,70,3,73,13049,1405,14454,5/23/2024
7/16/2023,7/22/2023,9,0,9,864,282,1146,5/23/2024
2/5/2023,2/11/2023,105,26,131,4413,1102,5515,5/23/2024
10/9/2022,10/15/2022,85,15,100,7389,1245,8634,5/23/2024
4/7/2024,4/13/2024,5,3,8,600,262,862,5/23/2024
8/27/2023,9/2/2023,22,2,24,2410,990,3400,5/23/2024
3/26/2023,4/1/2023,33,7,40,1784,443,2227,5/23/2024
11/12/2023,11/18/2023,17,2,19,1970,852,2822,5/23/2024
5/12/2024,5/18/2024,4,0,4,613,159,772,5/23/2024
12/17/2023,12/23/2023,27,5,32,5158,1410,6568,5/23/2024
4/26/2020,5/2/2020,1081,48,1129,12397,48,12445,5/23/2024
3/24/2024,3/30/2024,4,0,4,724,194,918,5/23/2024
3/6/2022,3/12/2022,53,8,61,4252,455,4707,5/23/2024
7/10/2022,7/16/2022,51,11,62,10135,1317,11452,5/23/2024
3/27/2022,4/2/2022,37,3,40,8240,830,9070,5/23/2024
2/12/2023,2/18/2023,89,19,108,4055,1058,5113,5/23/2024
6/19/2022,6/25/2022,58,7,65,9443,1007,10450,5/23/2024
6/7/2020,6/13/2020,194,5,199,1665,59,1724,5/23/2024
2/11/2024,2/17/2024,22,4,26,2036,546,2582,5/23/2024
1/21/2024,1/27/2024,32,2,34,3303,846,4149,5/23/2024
11/21/2021,11/27/2021,95,8,103,16372,1479,17851,5/23/2024
7/18/2021,7/24/2021,29,0,29,3353,373,3726,5/23/2024
5/10/2020,5/16/2020,783,38,821,7489,40,7529,5/23/2024
5/28/2023,6/3/2023,8,1,9,792,254,1046,5/23/2024
2/26/2023,3/4/2023,62,20,82,2615,630,3245,5/23/2024
8/20/2023,8/26/2023,15,4,19,2106,904,3010,5/23/2024
3/29/2020,4/4/2020,234,9,243,8284,11,8295,5/23/2024
7/19/2020,7/25/2020,37,1,38,1529,178,1707,5/23/2024
10/24/2021,10/30/2021,69,5,74,7950,699,8649,5/23/2024
8/30/2020,9/5/2020,19,3,22,2358,91,2449,5/23/2024
10/2/2022,10/8/2022,79,21,100,8117,1337,9454,5/23/2024
8/22/2021,8/28/2021,51,7,58,10086,780,10866,5/23/2024
